Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
1,-,DNB,-,-,0,0,,Test v South Africa,Cape Town,05-Jan-18,Test # 2292,Test, South Africa
2,5,-,-,-,-,-,,Test v South Africa,Cape Town,05-Jan-18,Test # 2292,Test, South Africa
3,-,DNB,-,-,1,0,,Test v South Africa,Cape Town,05-Jan-18,Test # 2292,Test, South Africa
4,28,-,-,-,-,-,,Test v South Africa,Cape Town,05-Jan-18,Test # 2292,Test, South Africa
1,-,DNB,-,-,1,0,,Test v South Africa,Centurion,13-Jan-18,Test # 2293,Test, South Africa
2,153,-,-,-,-,-,,Test v South Africa,Centurion,13-Jan-18,Test # 2293,Test, South Africa
3,-,DNB,-,-,1,0,,Test v South Africa,Centurion,13-Jan-18,Test # 2293,Test, South Africa
4,5,-,-,-,-,-,,Test v South Africa,Centurion,13-Jan-18,Test # 2293,Test, South Africa
1,54,-,-,-,-,-,,Test v South Africa,Johannesburg,24-Jan-18,Test # 2294,Test, South Africa
2,-,DNB,-,-,0,0,,Test v South Africa,Johannesburg,24-Jan-18,Test # 2294,Test, South Africa
3,41,-,-,-,-,-,,Test v South Africa,Johannesburg,24-Jan-18,Test # 2294,Test, South Africa
4,-,DNB,-,-,0,0,,Test v South Africa,Johannesburg,24-Jan-18,Test # 2294,Test, South Africa
1,-,DNB,-,-,1,0,,ODI v South Africa,Durban,01-Feb-18,ODI # 3969,ODI ,South Africa
2,112,-,-,-,-,-,,ODI v South Africa,Durban,01-Feb-18,ODI # 3969,ODI ,South Africa
1,-,DNB,-,-,0,0,,ODI v South Africa,Centurion,04-Feb-18,ODI # 3970,ODI ,South Africa
2,46*,-,-,-,-,-,,ODI v South Africa,Centurion,04-Feb-18,ODI # 3970,ODI ,South Africa
1,160*,-,-,-,-,-,,ODI v South Africa,Cape Town,07-Feb-18,ODI # 3971,ODI ,South Africa
2,-,DNB,-,-,2,0,,ODI v South Africa,Cape Town,07-Feb-18,ODI # 3971,ODI ,South Africa
1,75,-,-,-,-,-,,ODI v South Africa,Johannesburg,10-Feb-18,ODI # 3973,ODI ,South Africa
2,-,DNB,-,-,0,0,,ODI v South Africa,Johannesburg,10-Feb-18,ODI # 3973,ODI ,South Africa
1,36,-,-,-,-,-,,ODI v South Africa,Gqeberha,13-Feb-18,ODI # 3976,ODI ,South Africa
2,-,DNB,-,-,1,0,,ODI v South Africa,Gqeberha,13-Feb-18,ODI # 3976,ODI ,South Africa
1,-,DNB,-,-,2,0,,ODI v South Africa,Centurion,16-Feb-18,ODI # 3978,ODI ,South Africa
2,129*,-,-,-,-,-,,ODI v South Africa,Centurion,16-Feb-18,ODI # 3978,ODI ,South Africa
1,26,-,-,-,-,-,,T20I v South Africa,Johannesburg,18-Feb-18,T20I # 652,T20I, South Africa
2,-,DNB,-,-,0,0,,T20I v South Africa,Johannesburg,18-Feb-18,T20I # 652,T20I, South Africa
1,1,-,-,-,-,-,,T20I v South Africa,Centurion,21-Feb-18,T20I # 654,T20I, South Africa
2,-,DNB,-,-,0,0,,T20I v South Africa,Centurion,21-Feb-18,T20I # 654,T20I, South Africa
1,0,-,-,-,-,-,,T20I v Ireland,Dublin (Malahide),27-Jun-18,T20I # 678,T20I, Ireland
